text,rating,label
"Does the job alright, I wouldn't use them without my dog wearing her harness though.",4.0,0
"I an using them on an old Stinger shop vac to clean out my pellet stove (I know, I know you're not supposed to) and am not getting the dust all over the house.  The stove and ash is completely cold before I start.",5.0,0
"i love all mailorder bride books keep them coming, thankssherry",5.0,0
"Because of the holes, when it comes to the food bowl, it's really just a waste of money.  I had to replace the bowls with different brands of food",5.0,1
"I went and saw this in theaters and then bought the DVD and i have to say it is a awesome movie full of action and suspenseful moments. Then lets not forget Paula Patton in a dress that will make the eyes on any guy widen while he utters the word WOW! I still nearly drool at that point in the movie. MI Ghost Protocol is by a long shot the best of the series so far. The mix of suspense, thrill, action and stunts will leave even your most demanding action junkie pleased. This is not a film that will leave much of a long standing mental impression on you, which means you won't walk out of it with a changed view on life. Then again not many action movies will change your view on life. It won't make you do much thinking like other fairly recent films like Inception but then if you use Inception as your baseline for what you like then you will find yourself displeased with movies quite often. Mission Impossible Ghost Protocol is still a awesome movie that has a good plot for a action movie, good action/stunts, and the action was really good. The plot is simple like many action movies but the on-screen things like action and dialog make up for it. Then the car  with a Heads Up Display is in one word is awesome...

4/5 Stars Mission Impossible Ghost Protocol is a great movie and i recommend it to anyone who likes action movies.",4.0,0
I like the functionality and convenience of the system. I also like that it's easier to install than an older system. The only negative is the plastic housing on the sensor is metal. I'll be buying another one for the door. I bought this to replace a broken one I had.,4.0,1
"Great light for the small utility room I installed it in. Simple to install, too. Hoping that 10 years from now I will be able to attest to its longevity!",4.0,0
"Initially this was working pretty well. The only problem is that it was only a couple of hours. I had to adjust the angle of the switch by hand and it took a lot of time to adjust it. It was a breeze to do it. This was an excellent product. I bought this to replace the one I had installed in my kitchen. It is a little heavier than I expected, but it works fine.",1.0,1
Update - 06/13/2016. Physical internal battery has been replaced and no issues. This is a great product.,2.0,1
One pouch of this was just enough to add to our dogs meal for one day. They liked it but one day is not enough to gauge the probiotic effects of the product. I have to say that the packaging is ridiculous and I had to struggle mightily to wrestle the cap off the pouch.,3.0,0
"If you like chick flicks, you'll like this one.  It's not anything fabulously wonderful to write about, but it's a good movie on a rainy, boring day!",3.0,0
This book is drama filled from the first page.  It will have you on the edge of your seat wondering what's about to happen next.  Loved it and can't wait or part 2,5.0,0
"I was amazed at how easy it is to pick the next big growth stocks with this guide. And of course, it also covers some of the risks of growth investing. This information is key when learning what can be a very complicated type of investing",5.0,0
"These wire punches have a nice stretchy design, which is a nice bonus. I like the extra size and shape of the wire, which makes it easy to use. The wire punches are just as well made as the original wire punches, and are as durable as the originals. The only thing I would change is to order the 3-pack of the wire punches separately. I already have one of these, so I'll keep it for now. I like that the wire punches have a strong surface to them, which makes them easy to use, and also that the wire punches are a little longer than the originals.",5.0,1
I love this item.  It is very light weight.  And I think the product will serve well while I'm riding my gold wing.,5.0,0
"While no cat litter is fantastic at least this is organic and does not contain Silica. Clay litter may seem safe however our perfectly healthy 14 year old cat developed a lung condition, like silicosis, which caused from silica in CLAY LITTER. See http://petmac.org/arl/whats-the-big-deal-about-cat-litter/ for more information.  Even the ""dust free"" clay has dust...so 99% dust free compared to what?  We have been using the Blue Buffalo cat litter and like it. Yes it has some dust but it is NOT silica AND while it may have a bit of a strong smell when you first put it out, by the second day it is gone.  It clumps well, maybe not quite as well as clay but again it is not cancer causing. CDC, OSHA etc ALL have warnings about silica which is in Clay Cat Litter. Personally these manufactures not only do not care about our environment, they do not care about pets because if they did they would not put this poison on the market to hurt animals. Not only did we lose our recent little cat to this but 2 years ago we lost another one to lung cancer. We started doing research and this made perfect sense. Oh, both were big diggers and scratchers in the cat litter thus creating more of the dangerous dust. Please just stay away from ALL clay litters.",4.0,0
"The lights were amazing!!! But, I couldn't find a good description on how to install them.",5.0,1
awesome carbide bit.  Freud saw me and thought it was a good deal for a small,5.0,1
"Set in the 1960's, this `Happy Days' spin-off series that debuted on ABC in the Spring of 1982 that pertained to Joanie Cunningham(Erin Moran) and her boyfriend Chachi Arcola(Scott Baio), who move to Chicago and start a rock band, often performing at his family's Italian restaurant, but had tanked after only 2 months, due to weak ratings since it was ranked at #17 as 25 Biggest TV's Blunder list since people argued that Joanie & Chachi wasn't what viewers wanted to see since it was the ""Fonz""(Henry Winkler)who reeled in the viewers to HAPPY DAYS, which resulted in JOANIE LOVES CHACHI's cancellation in the Summer of 1982 with Baio and Moran returning to HAPPY DAYS in its final season.

This short-lived sitcom also takes me back to memory lane to when I used to watch it after HAPPY DAYS every Tuesday night on ABC when I was 9 years old in the 3rd grade and when we had all those budget cuts going on from the recession we had back in 1981-1982 when Ronald Reagan was President.",2.0,0
Great for travel. Need to find a way to put it in a travel bag.,4.0,1
"Really has helped with my dog's anxiety.  I've tried other pills, but this one has",5.0,1
"Very cute story. Even though Harry is only there for a little while, you really connect with how hard it is for Pete to be without him. And I didn't know it was possible to burn toast!",5.0,0
"Instantly hot, the plot draws you in and learn something new in every line. Well written, and very satisfying. Cannot wait for part two.",3.0,0
"I liked the familiarity between the two friends, Katie and Aaron, and when she comes to the realization that he is the perfect man for her, even thought it doesn't fit into her plans, she takes a chance on him.  A good short read!!",4.0,0
Great story. Glad we watched it. Helps to understand the plight of others.,5.0,0
"I put this on kitties' paws to be licked off. At first both my girls had a kitty fit. Shaking their paws. Thereafter, no problem. Their stool improved. It's now a weekly procedure I call ""pancakes "" due to the maple syrup aroma and taste. Yes I tasted a very small bit!  ""For love of my girls.""  It  controls fur balls beautifully, which was the main problem.",5.0,0
"This is awesome!  We completely remodeled our kitchen and used every bit of wall space for cabinets, so there isn't a single spot to hang a regular towel hook.  This is hooked on one of the upper cabinets and I put 2 towels on it at a time.  I wish it were spaced just a bit further apart, but the towels dry just fine and they stay put!",5.0,0
These sets work well and are an easy way to add a little safety to your home. The other two sets are a bit pricey. The basic design of the set is pretty straight forward and well made. The cover is very thick and covers most of the area around the entire outlet. The cover is the most useful part of the set and I think you can afford it for just about anything you need to do. The cover is easy to change and the bottom is pretty straight forward too. The bottom cover is really nice and easy to change. The front and back cover are a little more bulky but they work well and cover most of the area around the outlet. The back cover is also nice and easy to change.,4.0,1
"Guinea Pigs need a constant supply of hay and I gave this a go and my two piggies love it.  But NOT many Marigolds in here.  They basically fill the bag up with hay and stuff the front with some marigolds to make it look good.  Other than that false advertisement, give it a try and I'm sure you small animals will eat it all up =)

P.S.  I will never order from Petco.com again.  Thank you AMAZON.",3.0,0
"Got this for a German Shepherd puppy and she loves it.  She also loves the smell of the other two.  The only thing I can say is that it does a great job of keeping the puppy's teeth clean.  I think it's going to be a great purchase for the money.  I have a German Shepherd and I had to work on cleaning her teeth every day.  I would recommend this product to anyone who is considering cleaning their teeth.This is a great product for dogs that need to be chewed up, but they can't chew it up!  This is a great product for dogs that need to be chewed up.  We bought this for a puppy that was having a hard time with the teeth.  He has chewed up the top and bottom of the wheel, and the bottom of the wheel was going to be ripped off.  I gave it to him because I was afraid he might chew it up. ",4.0,1
"My Shih Tzu ""The Coach"" (Cats) and Her Toodle (Dogs) were just starting to get used to the new food.  The dog was not happy about it, but it was a relief.  She began eating it once a day",5.0,1
"This my Border Collie's favorite toy. The only problem is that it's kind of hard to find. I bought this for her for a friend's dog, and she had a very large ear. She had no issues with it, but it is hard to find for her.

I think it's great because it's so cute, and the colors are so bright.",5.0,1
"Awesome showerhead, I was concerned that it might be too tight for my hand, but I was just about ready to go. The shower head is very small, and the cover is very large. I was concerned about the head falling out, but it's not really that big. The shower head is a bit smaller than I expected, but I can't tell you how long it will last. I just wish it was a bit longer, and it will be fine. Overall, I am very happy with this showerhead. It's really nice to have it, and I'm very happy with it. It's definitely a better showerhead than the one I bought. I am very happy with it. I got this to replace an old wall lamp with a new one. It's a great little light, the only drawback is the metal screws are a bit too long for my small hand. I'm hoping this will last a long time.",5.0,1
"The three sections are smaller than the original design, which is a nice bonus. I like the extra",3.0,1
Beam is not as focused as a professional sprayer. I will admit that it's been pretty,2.0,1
This movie was good. They are talented dancers. The dance sequences could be better and more thorough. It is fairly consistent with Center Stage yet I prefer this ones filming.,4.0,0
Great price and great product!  I would buy it again!,5.0,0
